"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"12/18/2025","Sell to Close","OWL 02/20/2026 15.00 P","PUT BLUE OWL CAP INC $15 EXP 02/20/26","12","$0.85","$7.96","$1012.04"
"12/17/2025","Buy to Open","AMD 12/19/2025 185.00 P","PUT ADVANCED MICRO DEVIC$185 EXP 12/19/25","9","$0.49","$5.95","-$446.95"
"12/17/2025","Sell to Close","AMD 12/19/2025 200.00 P","PUT ADVANCED MICRO DEVIC$200 EXP 12/19/25","1","$4.70","$0.66","$469.34"
"12/17/2025","Buy to Open","GLD 12/19/2025 406.00 C","CALL SPDR GOLD TR $406 EXP 12/19/25","9","$0.61","$5.95","-$554.95"
"12/17/2025","Buy to Open","GDX 02/20/2026 95.00 C","CALL VANECK VCT GLD MNR $95 EXP 02/20/26","7","$2.84","$4.63","-$1992.63"
"12/17/2025","Sell to Close","AMD 01/16/2026 175.00 P","PUT ADVANCED MICRO DEVIC$175 EXP 01/16/26","5","$3.08","$3.32","$1536.68"
"12/17/2025","Buy to Open","TSLA 03/20/2026 420.00 P","PUT TESLA INC $420 EXP 03/20/26","2","$26.40","$1.32","-$5281.32"
"12/17/2025","Buy to Open","SLV 12/26/2025 70.00 C","CALL ISHR SILVER TR $70 EXP 12/26/25","50","$0.13","$33.05","-$683.05"
"12/17/2025","Buy","SIL","GLOBAL X SILVER MINERS ETF","100","$82.43","","-$8243.00"
"12/17/2025","Buy","CMP","COMPASS MINERALS INTL IN","500","$19.175","","-$9587.50"
"12/17/2025","Sell to Close","AMD 12/19/2025 200.00 P","PUT ADVANCED MICRO DEVIC$200 EXP 12/19/25","3","$4.01","$1.98","$1201.02"
"12/17/2025","Sell","QQQ","INVSC QQQ TRUST SRS 1 ETF","10","$604.53","","$6045.30"
"12/17/2025 as of 12/16/2025","Expired","QQQ 12/16/2025 614.00 C","CALL INVESCO QQQ TR $614 EXP 12/16/25","-5","","",""
"12/16/2025","Sell","CHAC","CRANE HBR ACQUISITION FCLASS A","500","$10.97","$0.08","$5484.92"
"12/16/2025 as of 12/15/2025","Bank Interest","","BANK INT ...525 SCHWAB BANK","","","","$0.61"
"12/15/2025","Buy to Open","QQQ 12/16/2025 614.00 C","CALL INVESCO QQQ TR $614 EXP 12/16/25","5","$1.16","$3.30","-$583.30"
"12/15/2025","Buy to Open","ARM 01/16/2026 115.00 P","PUT ARM HLDGS PLC EQUITY$115 EXP 01/16/26","2","$3.15","$1.32","-$631.32"
"12/15/2025","Sell","GTLB","GITLAB INC CLASS A","300","$38.705","$0.05","$11611.45"
"12/15/2025","Buy to Open","ARM 01/16/2026 115.00 P","PUT ARM HLDGS PLC EQUITY$115 EXP 01/16/26","3","$3.18","$1.98","-$955.98"
"12/15/2025","Buy to Open","MP 01/16/2026 44.00 P","PUT MP MATLS CORP $44 EXP 01/16/26","10","$0.50","$6.61","-$506.61"
"12/15/2025","Buy to Open","QS 01/16/2026 11.00 P","PUT QUANTUMSCAPE CORP $11 EXP 01/16/26","12","$1.06","$7.93","-$1279.93"
"12/12/2025","Buy to Open","AMD 01/16/2026 175.00 P","PUT ADVANCED MICRO DEVIC$175 EXP 01/16/26","10","$2.10","$6.61","-$2106.61"
"12/12/2025","Sell to Close","GME 04/17/2026 22.00 C","CALL GAMESTOP CORP NEW $22 EXP 04/17/26","5","$2.41","$3.31","$1201.69"
"12/12/2025","Sell to Close","SLV 01/16/2026 60.00 C","CALL ISHR SILVER TR $60 EXP 01/16/26","15","$1.74","$9.95","$2600.05"
"12/12/2025","Sell to Close","NFLX 12/19/2025 96.00 C","CALL NETFLIX INC $96 EXP 12/19/25","2","$1.53","$1.32","$304.68"
"12/12/2025","Sell to Close","NFLX 12/19/2025 96.00 C","CALL NETFLIX INC $96 EXP 12/19/25","8","$1.94","$5.31","$1546.69"
"12/11/2025","Buy to Open","NFLX 12/19/2025 96.00 C","CALL NETFLIX INC $96 EXP 12/19/25","10","$1.15","$6.61","-$1156.61"
"12/11/2025","Sell to Close","MU 03/20/2026 195.00 P","PUT MICRON TECHNOLOGY IN$195 EXP 03/20/26","2","$8.85","$1.33","$1768.67"
"12/11/2025","Buy to Open","GDX 02/20/2026 95.00 C","CALL VANECK VCT GLD MNR $95 EXP 02/20/26","7","$3.04","$4.63","-$2132.63"
"12/11/2025","Sell","SCCO","SOUTHERN COPPER CORP","15","$147.40","","$2211.00"
"12/11/2025","Buy to Open","FCX 01/16/2026 47.00 C","CALL FREEPORT-MCMORAN IN$47 EXP 01/16/26","5","$2.67","$3.30","-$1338.30"
"12/11/2025","Buy to Open","AMD 12/19/2025 200.00 P","PUT ADVANCED MICRO DEVIC$200 EXP 12/19/25","3","$2.88","$1.98","-$865.98"
"12/11/2025","Buy","ANPMF","ANDEAN PRECIOUS METALS F","800","$7.0375","$6.95","-$5636.95"
"12/11/2025","Buy to Open","SLV 01/16/2026 60.00 C","CALL ISHR SILVER TR $60 EXP 01/16/26","15","$2.01","$9.91","-$3024.91"
"12/10/2025","Name Change","CHXMF","TROILUS MNG CORP F","3,000","","",""
"12/10/2025","Name Change","896887106","TROILUS GOLD CORP XXXNAME CHANGE EFF: 12/10/25","-3,000","","",""
"12/08/2025","Buy","GTLB","GITLAB INC CLASS A","300","$39.841","","-$11952.30"
"12/08/2025","Sell to Close","HLT 01/16/2026 250.00 P","PUT HILTON WORLDWIDE HLD$250 EXP 01/16/26","5","$1.45","$3.31","$721.69"
"12/08/2025","Sell to Close","GTLB 01/16/2026 32.50 P","PUT GITLAB INC $32.5 EXP 01/16/26","10","$0.45","$6.64","$443.36"
"12/08/2025","Sell to Close","GLD 02/20/2026 380.00 C","CALL SPDR GOLD TR $380 EXP 02/20/26","1","$16.92","$0.66","$1691.34"
"12/08/2025","Sell to Close","SLV 01/16/2026 55.00 C","CALL ISHR SILVER TR $55 EXP 01/16/26","20","$1.8275","$13.26","$3641.74"
"12/05/2025","Buy to Open","IE 07/17/2026 15.00 C","CALL IVANHOE ELEC INC $15 EXP 07/17/26","2","$4.80","$1.32","-$961.32"
"12/05/2025","Buy","SCCO","SOUTHERN COPPER CORP","100","$141.76","","-$14176.00"
"12/05/2025","Sell to Close","STLA 01/16/2026 12.00 C","CALL STELLANTIS N V $12 EXP 01/16/26","15","$0.76","$9.96","$1130.04"
"12/05/2025","Sell to Close","SLV 12/19/2025 55.50 C","CALL ISHR SILVER TR $55.5 EXP 12/19/25","15","$0.83","$9.95","$1235.05"
"12/05/2025","Buy to Open","STLA 01/16/2026 12.00 C","CALL STELLANTIS N V $12 EXP 01/16/26","15","$0.7793","$9.90","-$1178.90"
"12/05/2025","Buy to Open","SLV 12/19/2025 55.50 C","CALL ISHR SILVER TR $55.5 EXP 12/19/25","15","$1.10","$9.91","-$1659.91"
"12/05/2025","Sell to Close","SNDK 02/20/2026 155.00 P","PUT SANDISK CORP $155 EXP 02/20/26","2","$10.99","$1.32","$2196.68"
"12/04/2025","Buy to Open","HLT 01/16/2026 250.00 P","PUT HILTON WORLDWIDE HLD$250 EXP 01/16/26","5","$1.50","$3.30","-$753.30"
"12/04/2025","Cash Dividend","TLT","ISHARES 20 PLS YEAR TREASURY BND ETF","","","","$48.10"
"12/03/2025","Sell to Close","BABA 01/16/2026 160.00 C","CALL ALIBABA GROUP HLDG $160 EXP 01/16/26","2","$7.98","$1.32","$1594.68"
"12/03/2025","Buy to Open","GTLB 01/16/2026 32.50 P","PUT GITLAB INC $32.5 EXP 01/16/26","10","$1.18","$6.60","-$1186.60"
"12/02/2025","Buy to Open","AMD 12/19/2025 200.00 P","PUT ADVANCED MICRO DEVIC$200 EXP 12/19/25","2","$4.06","$1.32","-$813.32"
"12/02/2025","Sell","XIACY","XIAOMI CORP FUNSPONSORED ADR 1 ADR REPS 5 ORD SHS","100","$25.915","$6.97","$2584.53"
"12/02/2025","Sell","GRAL","GRAIL INC EQUITY CLASS EQUITY","25","$95.545","","$2388.63"
"12/02/2025","Sell to Close","SLV 12/19/2025 55.00 C","CALL ISHR SILVER TR $55 EXP 12/19/25","5","$1.19","$3.31","$591.69"
"12/02/2025","Sell to Close","MSTR 01/16/2026 138.00 P","PUT STRATEGY INC $138 EXP 01/16/26","2","$5.54","$1.33","$1106.67"
"12/01/2025","Buy to Open","SNDK 02/20/2026 155.00 P","PUT SANDISK CORP $155 EXP 02/20/26","1","$12.97","$0.66","-$1297.66"
"12/01/2025","Sell","GRAL","GRAIL INC EQUITY CLASS EQUITY","55","$98.5433","$0.01","$5419.87"
"12/01/2025","Sell to Close","SNDK 02/20/2026 155.00 P","PUT SANDISK CORP $155 EXP 02/20/26","1","$13.00","$0.66","$1299.34"
"12/01/2025","Sell to Close","SLV 12/19/2025 48.00 C","CALL ISHR SILVER TR $48 EXP 12/19/25","3","$5.57","$1.99","$1669.01"
"12/01/2025","Buy to Open","SNDK 02/20/2026 155.00 P","PUT SANDISK CORP $155 EXP 02/20/26","1","$12.85","$0.66","-$1285.66"
"12/01/2025","Sell to Close","GME 04/17/2026 22.00 C","CALL GAMESTOP CORP NEW $22 EXP 04/17/26","5","$4.00","$3.31","$1996.69"
"12/01/2025","Buy to Open","MSTR 01/16/2026 138.00 P","PUT STRATEGY INC $138 EXP 01/16/26","2","$11.50","$1.32","-$2301.32"
"12/01/2025","Sell to Close","CRM 03/20/2026 220.00 P","PUT SALESFORCE INC $220 EXP 03/20/26","1","$13.35","$0.66","$1334.34"
"12/01/2025","Sell","TLT","ISHARES 20 PLS YEAR TREASURY BND ETF","150","$88.7442","$0.02","$13311.61"
"12/01/2025","Sell to Close","SLV 12/19/2025 48.00 C","CALL ISHR SILVER TR $48 EXP 12/19/25","2","$4.65","$1.33","$928.67"
"12/01/2025","Buy to Open","SNDK 02/20/2026 155.00 P","PUT SANDISK CORP $155 EXP 02/20/26","1","$13.58","$0.66","-$1358.66"
"11/28/2025","Buy to Open","GME 04/17/2026 22.00 C","CALL GAMESTOP CORP NEW $22 EXP 04/17/26","10","$3.78","$6.61","-$3786.61"
"11/28/2025","Buy","CHXMF","TROILUS GOLD CORP F","2,000","$1.0722","$6.95","-$2151.35"
"11/28/2025","Sell","GRAL","GRAIL INC EQUITY CLASS EQUITY","80","$108.4351","$0.01","$8674.80"
"11/28/2025","Sell to Close","SLV 12/19/2025 55.00 C","CALL ISHR SILVER TR $55 EXP 12/19/25","15","$0.78","$9.96","$1160.04"
"11/28/2025","Buy to Open","SLV 12/19/2025 55.00 C","CALL ISHR SILVER TR $55 EXP 12/19/25","20","$0.89","$13.22","-$1793.22"
"11/28/2025","Journal","XIACY","XIAOMI CORP FUNSPONSORED ADR 1 ADR REPS 5 ORD SHS","-100","","",""
"11/28/2025","Journal","XIACY","XIAOMI CORP FUNSPONSORED ADR 1 ADR REPS 5 ORD SHS","100","","",""
"11/28/2025","Journal","CHAC","CRANE HBR ACQUISITION FCLASS A","-500","","",""
"11/28/2025","Journal","CHAC","CRANE HBR ACQUISITION FCLASS A","500","","",""
"11/26/2025","Buy","NEM","NEWMONT CORP","100","$90.32","","-$9032.00"
"11/26/2025","Sell to Close","OKLO 09/18/2026 155.00 P","PUT OKLO INC $155 EXP 09/18/26","1","$79.98","$0.66","$7997.34"
"11/26/2025","Sell to Close","BMNR 12/26/2025 25.00 P","PUT BITMINE IMMERSION TE$25 EXP 12/26/25","8","$1.32","$5.31","$1050.69"
"11/26/2025","Buy","CHXMF","TROILUS GOLD CORP F","1,000","$1.005","$6.95","-$1011.95"
"11/26/2025","Sell to Close","GLD 02/20/2026 380.00 C","CALL SPDR GOLD TR $380 EXP 02/20/26","1","$18.29","$0.66","$1828.34"
"11/26/2025","Buy to Open","SLV 01/16/2026 55.00 C","CALL ISHR SILVER TR $55 EXP 01/16/26","20","$0.90","$13.22","-$1813.22"
"11/26/2025","Sell","QQQ","INVSC QQQ TRUST SRS 1 ETF","90","$613.24","$0.01","$55191.59"
"11/26/2025 as of 11/25/2025","Exchange or Exercise","QQQ 11/25/2025 603.00 C","CALL INVESCO QQQ TR $603 EXP 11/25/25","-1","","",""
"11/26/2025 as of 11/25/2025","Buy","QQQ","INVSC QQQ TRUST SRS 1 ETF","100","$603.00","","-$60300.00"
"11/25/2025","Buy to Open","AMD 12/19/2025 170.00 P","PUT ADVANCED MICRO DEVIC$170 EXP 12/19/25","10","$3.36","$6.60","-$3366.60"
"11/25/2025","Buy to Open","BMNR 12/26/2025 25.00 P","PUT BITMINE IMMERSION TE$25 EXP 12/26/25","8","$1.80","$5.29","-$1445.29"
"11/24/2025","Sell","GOOG","ALPHABET INC CLASS C","40","$321.60","$0.01","$12863.99"
"11/24/2025","Buy","GOOG","ALPHABET INC CLASS C","40","$316.6763","","-$12667.05"
"11/24/2025","Buy to Open","QQQ 11/25/2025 603.00 C","CALL INVESCO QQQ TR $603 EXP 11/25/25","1","$3.89","$0.66","-$389.66"
"11/24/2025","Buy to Open","BABA 01/16/2026 160.00 C","CALL ALIBABA GROUP HLDG $160 EXP 01/16/26","2","$11.87","$1.32","-$2375.32"
"11/24/2025","Buy to Open","SLV 12/19/2025 48.00 C","CALL ISHR SILVER TR $48 EXP 12/19/25","5","$0.95","$3.30","-$478.30"
"11/24/2025","Buy to Open","GLD 02/20/2026 380.00 C","CALL SPDR GOLD TR $380 EXP 02/20/26","2","$14.23","$1.32","-$2847.32"
"11/24/2025","Sell to Close","QQQ 11/24/2025 590.00 C","CALL INVESCO QQQ TR $590 EXP 11/24/25","1","$9.12","$0.66","$911.34"
"11/24/2025 as of 11/21/2025","Expired","WMT 11/21/2025 95.00 P","PUT WALMART INC $95 EXP 11/21/25","-5","","",""
"11/21/2025","Buy","GRAL","GRAIL INC EQUITY CLASS EQUITY","80","$93.94","","-$7515.20"
"11/21/2025","Buy to Open","QQQ 11/24/2025 590.00 C","CALL INVESCO QQQ TR $590 EXP 11/24/25","1","$4.54","$0.66","-$454.66"
"11/21/2025","Buy to Open","MSTR 03/20/2026 140.00 P","PUT STRATEGY INC $140 EXP 03/20/26","1","$17.95","$0.66","-$1795.66"
"11/21/2025","Buy to Open","MU 03/20/2026 195.00 P","PUT MICRON TECHNOLOGY IN$195 EXP 03/20/26","2","$25.98","$1.32","-$5197.32"
"11/21/2025","Sell to Close","AMD 12/19/2025 200.00 P","PUT ADVANCED MICRO DEVIC$200 EXP 12/19/25","2","$11.40","$1.32","$2278.68"
"11/21/2025","Sell to Close","QQQ 11/21/2025 581.00 C","CALL INVESCO QQQ TR $581 EXP 11/21/25","1","$10.55","$0.66","$1054.34"
"11/21/2025","Sell to Close","MU 12/19/2025 190.00 P","PUT MICRON TECHNOLOGY IN$190 EXP 12/19/25","6","$10.8833","$3.97","$6526.03"
"11/21/2025","Buy","GRAL","GRAIL INC EQUITY CLASS EQUITY","80","$92.81","","-$7424.80"
"11/21/2025","Sell to Close","MSTR 03/20/2026 200.00 P","PUT STRATEGY INC $200 EXP 03/20/26","1","$49.25","$0.66","$4924.34"
"11/21/2025","Sell","JKS","JINKOSOLAR HLDG CO LTD FSPONSORED ADR 1 ADR REPS 4 ORD SHS","200","$24.8269","$0.03","$4965.35"
"11/21/2025","Sell to Close","COIN 11/21/2025 230.00 P","PUT COINBASE GLOBAL INC $230 EXP 11/21/25","3","$1.02","$1.99","$304.01"
"11/21/2025","Sell to Close","QQQ 11/21/2025 581.00 P","PUT INVESCO QQQ TR $581 EXP 11/21/25","2","$2.64","$1.33","$526.67"
"11/21/2025","Sell to Close","QQQ 11/21/2025 600.00 C","CALL INVESCO QQQ TR $600 EXP 11/21/25","8","$0.10","$5.31","$74.69"
"11/21/2025","Buy to Open","QQQ 11/21/2025 581.00 C","CALL INVESCO QQQ TR $581 EXP 11/21/25","1","$3.87","$0.66","-$387.66"
"11/21/2025","Buy to Open","BE 12/19/2025 75.00 P","PUT BLOOM ENERGY CORP $75 EXP 12/19/25","2","$7.56","$1.32","-$1513.32"
"11/21/2025","Sell to Close","COIN 12/19/2025 210.00 P","PUT COINBASE GLOBAL INC $210 EXP 12/19/25","2","$7.25","$1.33","$1448.67"
"11/21/2025","Sell to Close","INTC 12/19/2025 33.00 P","PUT INTEL CORP $33 EXP 12/19/25","8","$1.74","$5.31","$1386.69"
"11/21/2025","Buy to Open","AMD 12/19/2025 170.00 P","PUT ADVANCED MICRO DEVIC$170 EXP 12/19/25","1","$4.05","$0.66","-$405.66"
"11/21/2025","Buy to Open","AMD 12/19/2025 200.00 P","PUT ADVANCED MICRO DEVIC$200 EXP 12/19/25","2","$13.11","$1.32","-$2623.32"
"11/21/2025","Sell to Close","MU 11/21/2025 200.00 P","PUT MICRON TECHNOLOGY IN$200 EXP 11/21/25","3","$1.94","$1.99","$580.01"
"11/20/2025","Buy to Open","QQQ 11/21/2025 581.00 P","PUT INVESCO QQQ TR $581 EXP 11/21/25","2","$2.74","$1.32","-$549.32"
"11/20/2025","Buy to Open","QQQ 11/21/2025 600.00 C","CALL INVESCO QQQ TR $600 EXP 11/21/25","8","$1.37","$5.29","-$1101.29"
"11/20/2025","Sell to Close","MU 12/19/2025 190.00 P","PUT MICRON TECHNOLOGY IN$190 EXP 12/19/25","3","$11.90","$1.99","$3568.01"
"11/20/2025","Sell to Close","COIN 12/19/2025 210.00 P","PUT COINBASE GLOBAL INC $210 EXP 12/19/25","2","$8.20","$1.32","$1638.68"
"11/20/2025","Buy to Open","COIN 12/19/2025 210.00 P","PUT COINBASE GLOBAL INC $210 EXP 12/19/25","4","$7.87","$2.64","-$3150.64"
"11/20/2025","Buy to Open","COIN 11/21/2025 230.00 P","PUT COINBASE GLOBAL INC $230 EXP 11/21/25","3","$2.02","$1.98","-$607.98"
"11/20/2025","Sell to Close","MU 11/21/2025 200.00 P","PUT MICRON TECHNOLOGY IN$200 EXP 11/21/25","2","$2.98","$1.33","$594.67"
"11/20/2025","Sell to Close","CRWV 03/20/2026 75.00 P","PUT COREWEAVE INC $75 EXP 03/20/26","1","$13.42","$0.66","$1341.34"
"11/20/2025","Sell to Close","MSTR 03/20/2026 200.00 P","PUT STRATEGY INC $200 EXP 03/20/26","1","$38.15","$0.66","$3814.34"
"11/19/2025","Buy to Open","INTC 12/19/2025 33.00 P","PUT INTEL CORP $33 EXP 12/19/25","8","$1.40","$5.29","-$1125.29"
"11/19/2025","Sell to Close","MSTR 03/20/2026 160.00 P","PUT STRATEGY INC $160 EXP 03/20/26","1","$23.43","$0.66","$2342.34"
"11/19/2025","Sell to Close","CRM 03/20/2026 220.00 P","PUT SALESFORCE INC $220 EXP 03/20/26","1","$17.05","$0.66","$1704.34"
"11/19/2025","Buy to Open","WMT 11/21/2025 95.00 P","PUT WALMART INC $95 EXP 11/21/25","5","$0.70","$3.30","-$353.30"
"11/19/2025","Buy to Open","MU 11/21/2025 200.00 P","PUT MICRON TECHNOLOGY IN$200 EXP 11/21/25","5","$1.20","$3.30","-$603.30"
"11/19/2025","Buy to Open","MSTR 03/20/2026 160.00 P","PUT STRATEGY INC $160 EXP 03/20/26","1","$19.60","$0.66","-$1960.66"
"11/18/2025","Buy to Open","MU 12/19/2025 190.00 P","PUT MICRON TECHNOLOGY IN$190 EXP 12/19/25","5","$5.60","$3.30","-$2803.30"
"11/18/2025","Sell to Close","MU 12/19/2025 190.00 P","PUT MICRON TECHNOLOGY IN$190 EXP 12/19/25","5","$5.40","$3.31","$2696.69"
